GID,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G746,Northern,Булган,MN63,Булган,MN6308,Goat,0.22,0.26,6.12,0.24,0.16,0.22,0.25,8.02,0.25,1.01,0.25,0.27,0.47,0.55,0.45,0.51,0.52,0.58,0.69,0.73,1.12,1.98,2.99,4.34,5.56,6.85,7.55,9.44,10.53,11.51,11.99,11.25,12.81,14.34,15.89,17.67,23.49,23.57,27.31,23.51,16.55,17.8,18.65,16.74,18.9,18.47,20.43,19.05,20.37,24.57,24.4
G753,Northern,Булган,MN63,Баян-Агт,MN6318,Goat,10.56,11.06,11.37,11.65,11.82,11.37,11.52,11.53,12.87,12.67,12.28,13.06,13.89,14.39,14.72,12.95,11.58,11.19,11.38,11.92,11.91,11.46,12.39,13.3,13.95,16.42,19.61,22.41,26.55,27.29,28.73,32.12,36.85,32.88,41.35,45.61,53.93,64.39,74.68,69.57,58.46,62.63,68.05,73.28,82.5,84.42,94.54,97.38,103.06,109.1,85.69
G760,Northern,Булган,MN63,Баяннуур,MN6301,Goat,0,0,0,0,0,0,0,0,0,0,0.64,0.84,0.91,0.89,1.03,1.18,1.19,1.21,1.22,1.51,1.61,1.91,2.48,4.45,4.7,5.86,6.74,8.73,10.53,10.24,9.7,11.5,10.88,6.2,7.28,11.7,17.04,25.03,32.17,41.16,32.37,36.78,37.61,38.25,44.29,47.63,45,38.61,38.72,51.53,53.3
G763,Northern,Булган,MN63,Бугат,MN6309,Goat,2.07,2.41,2.59,2.73,2.61,2.53,2.49,2.54,2.84,2.86,2.42,2.77,2.9,3.13,3.21,2.89,2.46,2.09,2.09,2.51,2.9,3,3.16,3.53,4.38,4.88,5.72,6.51,8.26,10.88,11.09,11.49,12.87,11.55,13.17,14.81,17.52,23.68,27.93,29.31,23.11,20.8,22.85,24.1,25.8,28.46,31.95,32.36,33.3,35.4,34.52
G767,Northern,Булган,MN63,Бүрэгхангай,MN6305,Goat,5.97,6.44,6.55,6.98,7.34,7.44,7.19,7.71,8.74,9.61,9.65,10.59,10.97,11.34,11.45,9.66,8.11,6.91,7.05,7.26,7.4,8.81,9.14,9.87,11.08,12.64,14.69,16.58,19.67,25.36,32.13,39.34,36.38,31.27,30.73,37.57,46.62,61.73,77.52,82.71,76.94,84.28,85.65,85.62,92.6,93.29,99.69,88.99,88.51,109.56,108.08
G772,Northern,Булган,MN63,Гурванбулаг,MN6312,Goat,10.01,11.21,12.1,13.39,14.4,15.18,15.38,14.11,15.93,15.01,14.21,14.47,15.17,14.16,13,11.49,11.09,10.98,10.66,12.83,14.07,13.41,14.99,16.83,19.28,23.07,27.37,31.95,37.64,42.2,40.17,41.83,42.1,36.26,41.97,47.01,59.27,72.99,85.94,93.94,87.26,83.47,96.41,104.17,111.57,103.45,110.03,107.59,96.12,115.9,121.23
G779,Northern,Булган,MN63,Дашинчилэн,MN6306,Goat,9.68,10.14,10.95,11.49,11.98,12.18,11.59,8.33,10.28,10.92,11.01,11.39,12.61,12.4,13.03,12.06,11.51,10.97,10.45,12.54,13.03,13.15,12.82,13.28,13.57,16.11,17.96,22.46,27.23,31.2,26.68,31.9,32.12,21.89,23.32,27.42,37.08,49.36,60.34,66.19,60.63,62.17,65.46,65.92,74.36,78.73,77.33,69.88,71.31,86.99,85.31
G784,Northern,Булган,MN63,Могод,MN6315,Goat,8.19,8.87,9.52,9.96,10.08,9.4,9.59,9.69,10.9,11.09,10.39,11.73,12.47,12.77,13.03,10.15,9.01,8.62,8.84,9.52,9.7,10.82,11.55,11.81,14.52,16.81,19.99,23.63,28.01,31.54,30.89,32.92,31.31,28.34,34.73,38.79,43.97,53.36,64.25,63.23,49.05,53.26,58.71,65.42,68.25,64.56,68.27,68.98,67.68,78.88,73.4
G790,Northern,Булган,MN63,Орхон,MN6304,Goat,9.31,9.86,10.16,11.11,11.45,10.83,10.37,10.82,11.26,11.01,9.56,9.96,10.4,10.71,10.81,9.86,8.21,7.37,7.56,8.39,7.34,8.57,11.28,13.03,16.31,20.58,22.8,25.97,29,32.14,34.94,37.04,37.27,35.45,39.56,47.92,58.02,66.07,80.75,85.31,65.77,67.87,73.67,76.91,103.8,105.92,119.71,108.48,107.01,115.36,111.35
G796,Northern,Булган,MN63,Рашаант,MN6307,Goat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.38,0.43,0.69,0.91,1.16,1.58,2.51,2.96,4.01,5.16,6.41,8.23,10.17,12.96,13.22,10.01,12.55,14.7,13.79,16.92,20.93,26.8,35.22,46.57,53.89,46.94,48.39,56.27,57.93,65.52,63.3,65.29,63.55,62.57,67.89,67.85
G801,Northern,Булган,MN63,Сайхан,MN6316,Goat,9.41,10,9.81,9.85,10.28,10.12,9.43,8.32,9.6,9.88,10.58,11.13,11.47,10.87,10.32,9.62,8.28,7.95,8.77,10.76,11.52,11.52,14.75,15.04,18.39,20.78,23.46,27.93,32.71,32.88,32.6,33.57,34.33,30.04,34.84,40.8,47.98,55.85,66.88,67.9,51.84,52.6,57.7,64.02,74.73,73,74.34,76.6,76.82,84.02,67.68
G808,Northern,Булган,MN63,Сэлэнгэ,MN6302,Goat,0.32,0.34,0.32,0.34,0.33,0.32,0.31,0.24,0.19,0.17,0.15,0.14,0.17,0.17,0.17,0.15,0.15,0.16,0.15,0.16,0.21,0.3,0.43,0.74,1.09,1.75,2.74,3.16,4.37,4.61,4.94,5.63,7.65,6.61,8.83,10.48,13.95,18.91,25.54,26.57,20.2,25.74,26.06,22.74,23.64,26.12,28.63,25.25,26.15,28.05,30.18
G814,Northern,Булган,MN63,Тэшиг,MN6310,Goat,5.01,4.94,5.24,5.45,5.28,5.69,5.42,4.64,5.06,5.68,5.51,6.36,6.9,7.16,7.15,5.91,4.66,4.12,4.26,4.31,4.41,4.56,5.1,5.54,5.99,7.07,8.25,9.41,11.03,11.23,12.08,13.41,16.17,15.22,18.25,20.76,23.91,27.89,31.58,30.55,23.45,22.17,22.23,18.45,19.75,21.81,24.44,23.14,25.83,26.26,25.77
G820,Northern,Булган,MN63,Хангал,MN6303,Goat,3.36,3.88,4.42,4.61,4.76,4.4,3.95,4.02,4.18,4.57,4.52,5.31,5.46,5.77,5.48,4.76,4.31,4.06,4.16,4.22,2.95,2.52,2.11,2.1,3.48,3.88,4.61,6.18,8.51,9.54,10.64,11.69,18.95,12.27,13.95,16.51,21.22,28.68,37.01,40.46,29.74,30.37,30.82,25.54,27.78,28.39,31.51,30.93,31.12,31.95,34.01
G825,Northern,Булган,MN63,Хишиг-Өндөр,MN6311,Goat,3.69,3.82,4.15,4.32,4.26,3.9,3.67,0,3.87,4.1,4.19,4.48,4.98,4.93,5.17,4.85,4.81,4.35,4.38,4.97,5.62,6.43,7.62,8.93,11.32,13.18,15.11,17.31,20.57,22.75,23.79,25.58,27.3,28.64,30.74,36.1,43.8,52.83,62.44,64.09,51.28,55.81,60.18,60.84,68.27,64.38,74.66,74.11,69.54,82.3,81.72
G831,Northern,Булган,MN63,Хутаг-Өндөр,MN6314,Goat,6.57,6.17,3.9,6.64,11.04,10.6,9.09,3.47,7.95,8.16,8.32,8.94,8.64,8.69,8.94,8.69,7.19,6.07,6.34,6.53,6.62,6.06,6.08,6.74,8.22,10.32,11.64,14.28,17.05,19.05,21.09,24.86,29.04,28.51,34.7,41.23,49.47,60.88,73.24,70.39,60.07,60.88,61.98,59.88,68.4,76.99,89.35,95.22,108.51,114.25,99.49
G838,Northern,Баянхонгор,MN64,Баянхонгор,MN6409,Goat,1.42,1.41,0.47,0.76,0.54,0.91,0.86,1.06,1.9,1.67,1.61,2.46,2.83,2.26,3.15,3.53,4.31,4.9,5.08,9.23,15.08,13.21,20.59,19.96,24.47,26.09,29.16,34.07,34.81,39.49,35.85,21.41,15.22,29.4,36.96,42.98,49.51,60.57,75.55,73.4,60.1,64.3,76.71,84.82,86.15,75.91,84.2,81.67,78.4,85.52,84.05
G849,Northern,Баянхонгор,MN64,Баацагаан,MN6415,Goat,33.89,35.01,39.18,40.29,42.33,42,41.21,43.35,44.13,44.84,50.31,52.55,58.52,62.67,50.65,45.6,46.57,47.34,44.98,51.52,53.93,57.43,60.35,70.32,86.81,102.65,97.03,106.92,115.42,109.78,117.39,71.78,27.28,41.92,53.32,65.67,84.74,113.42,144.96,149.37,101.08,130.73,145.76,175.85,211.87,235.75,265.59,264.22,242,278.82,190.06
G857,Northern,Баянхонгор,MN64,Баянбулаг,MN6426,Goat,6.13,6.35,6.25,6.13,5.97,5.85,5.55,6.37,6.88,7.03,7.07,6.9,7.2,6.98,4.06,4.34,4.7,4.75,4.46,5.17,6.41,8.17,9.24,9.21,12.71,17.21,20.36,23.64,23.54,23.29,16.96,18.9,18.01,22.27,25.8,28.92,34.2,38.43,38.95,35.14,21.24,23.23,29.03,33.3,35.87,39,44.28,50.12,50.49,53.38,43.86
G862,Northern,Баянхонгор,MN64,Баянговь,MN6143,Goat,42.15,37.33,43.06,42.05,43.12,43.19,42.66,44.79,46.71,44.34,45.88,49.42,54.08,52.28,38.7,41.66,41.77,40.76,33.25,40.16,41.1,45.94,52.63,58.22,73.82,82.96,83.18,92.52,95.45,83.6,83.92,40.15,18.32,29.25,40.31,55.92,71.49,94.42,117.42,122.53,71.48,68.74,83.36,111.31,134.52,151.71,173.44,190.24,166.29,186.72,142.01
G868,Northern,Баянхонгор,MN64,Баянлиг,MN6401,Goat,30.83,31.04,38.35,37.37,40.02,39.27,39.97,43.14,46.18,44.65,41.48,42.25,47.84,45.33,33.37,33.43,35.53,35.98,34.06,41.23,42.06,44.42,50.15,61.59,74.17,91.38,89.76,93.08,88.66,93.67,100.01,55.48,23.55,35.67,45.57,55.79,69.74,97.88,115.47,124.17,75.56,83.41,98.16,120.06,141.07,153.9,163.57,181.72,159.34,183.48,133.21
G874,Northern,Баянхонгор,MN64,Баян-Овоо,MN6408,Goat,12.25,12.68,12.17,14.08,13.71,13.97,14.4,14.72,15.55,15.16,15.81,15.53,15.87,13.03,10.46,9.24,9.05,9.88,8.03,10.18,11.93,13.41,11.86,12.43,14.65,17.49,18.85,22.66,26.12,27.05,20.91,10.19,10.85,16.45,19.97,22.54,30.75,41.55,48.33,55.75,41.55,58.95,75.99,84.27,98.6,103.89,113.23,107.86,99.19,119.69,107.76
G879,Northern,Баянхонгор,MN64,Баян-Өндөр,MN6425,Goat,34.86,36.92,41.96,40.81,41.63,38.72,40.38,40.87,42.96,40.3,44.94,45.77,47.07,50,44.12,43.03,37.1,35.39,32,34.85,39.36,41.26,44.27,44.13,56.54,65.13,68.27,83.22,86.86,80.58,81.65,69.32,32.91,47.23,61.08,67.85,80.67,96.02,107.49,104.86,60.53,65.86,79.61,97.59,109.25,126.41,153.02,171.63,136.77,131.43,114.56
G884,Northern,Баянхонгор,MN64,Баянцагаан,MN6421,Goat,48.45,45.17,50.02,49.02,48.1,50.27,52.35,54.11,53.7,47.28,51.08,52.79,52.49,51.4,44.65,45.09,47.58,47.48,43.94,50.15,53.43,55.95,62.31,64.36,83.32,100.02,98.97,116.13,117.17,104.09,104.89,68.33,24.07,39.36,54.4,68.39,82.53,98.48,115.47,97.53,63.2,74.9,87.53,112.32,135.05,157.57,190.65,206.43,177.41,185.87,118.08
G890,Northern,Баянхонгор,MN64,Богд,MN6405,Goat,36.97,37.63,43.71,44.8,45.7,45.49,46.55,46.76,50.26,48.97,47.76,48.32,51.74,46.37,31.92,32.22,33.09,34.13,32.27,39.21,38.63,43.4,45.35,51.81,59.81,71.21,70.39,74.7,85.74,88.76,88.43,58.83,30.75,43.31,56.97,66.62,84.05,106.26,126.39,138.92,93.7,107.98,115.15,132.4,156.4,158.71,172.11,168.66,153.17,164.48,120.52
G897,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,Goat,19.56,19.65,21.22,20.75,21,20.14,20.37,21.29,22.41,22.11,23.45,24.36,25.35,24.28,20.98,20.15,20.88,21.98,22.19,23.52,25.19,26.8,27.67,32.59,37.63,42.13,44.47,49.33,55.09,53.4,57.07,34.23,14.91,24.19,30.71,41.25,54.04,74.61,91.88,87.18,80,100.9,112.72,123.43,143.1,155.37,174.52,184.66,177.71,197.27,183.64
G902,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,Goat,44.51,44.66,46.53,46.5,46.89,49.2,51.36,53.52,53.01,50.47,54.42,54.95,55,53.86,42.28,47.23,52.44,56.16,55.94,63.53,70.04,76.71,81.47,83.2,104.19,117.98,117.64,126.76,128.6,112.47,120.3,85.85,31.17,45.94,60.4,74.35,93.63,113.29,128.64,124.87,98.67,113.33,129.4,148.24,168.17,183.33,198.82,207.61,188.01,207.02,171.13
G909,Northern,Баянхонгор,MN64,Галуут,MN6411,Goat,9.35,10.28,10.27,8.76,9.17,9.59,9.86,10.4,11.27,11.01,11.14,11.83,12.23,9.27,7.14,5.35,5.57,5.2,5.02,6.53,7.69,8.94,10.36,12.76,17.06,22.24,26.76,31.89,36.64,38.02,34.16,27.74,22.28,28.38,34.3,36.94,47.04,55.49,68.69,71.16,58.29,65,72.37,73.5,81.32,85.99,93.21,105.38,108.07,116.86,108.26
G916,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,Goat,8.25,8.56,7.57,5.42,4.59,4.48,4.2,4.5,4.55,4.44,4.29,3.97,3.86,3.5,3.04,1.95,1.91,1.98,2.02,2.3,2.64,3.36,4.08,3.85,5.16,7.3,9.07,11.44,12.76,12.12,9.76,13.01,14.61,17.4,20.42,21.9,26.49,32.53,34.83,34.01,18.84,22.26,26.03,29.92,33.01,37.94,42.74,50.42,57.19,58.35,53.89
G922,Northern,Баянхонгор,MN64,Жаргалант,MN6418,Goat,4.3,4.3,4.05,3.25,3.05,2.55,1.9,1.52,1.2,1.02,1.03,1.07,1.06,1.13,0.87,0.82,1.01,1.1,1.13,1.48,2,2.51,3.13,4.43,6.34,8.43,10.72,13.71,15.55,16.4,15.9,18.66,19.09,22.13,24.49,27.94,32.8,37.98,42.21,38.68,29.71,31.12,33.41,35.88,39.34,42.89,46.43,54.05,54.07,58.72,54.98
G927,Northern,Баянхонгор,MN64,Жинст,MN6407,Goat,38.39,38.22,39.69,39.55,42.45,42.9,44.57,46.02,47.32,45.88,46.71,46.71,50.74,49.45,40.58,34.32,36.61,37.21,32.98,38.5,39.46,46.54,48.36,52.75,60.16,71.29,63.31,72.75,78.52,76.38,76.92,48.46,16.85,26.89,37.08,46.41,58.36,77.07,97.63,110.17,67.71,84.04,90.66,110.6,127.69,141.05,153.18,158.2,129.51,147.63,111.91
G933,Northern,Баянхонгор,MN64,Заг,MN6420,Goat,7.45,7.89,7.34,6.99,6.64,6.8,6.05,6.37,6.68,6.86,7.29,7.6,6.89,7.09,4.91,4.14,4.48,4.86,4.45,5.96,7.37,8.04,8.44,9.91,12.9,17.28,21.23,25.06,27.91,25.12,21.47,23.19,19.83,24.98,27.23,29.54,33.94,38.26,44.95,41.34,32.02,35.76,38.86,45.15,49.88,54.4,59.76,69.11,68.5,74.08,64.65
G938,Northern,Баянхонгор,MN64,Өлзийт,MN6403,Goat,29.68,30.37,28.25,30.5,30.39,28.48,28.12,27.76,29.42,29.96,31.53,33.09,34.47,28.39,25.79,23.34,21.63,21.82,19.5,23.62,26.32,28.53,30.45,30.21,35.32,40.88,46.62,54.15,63.33,65.87,62.11,41.91,23.66,36.56,48.92,61.79,79.7,101.46,118.26,114.21,98.3,118.35,128.69,136.43,150.17,151.38,138.25,143.57,126.15,150.29,138.09
G945,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,Goat,16.54,16.96,17.71,18.43,17.36,17.76,17.55,18.46,19.48,18.64,18.69,19.96,19.98,19.01,10.63,13.59,13.85,14.44,14.77,18.33,20.25,23.16,25.06,23.4,30.58,38.54,43.82,51.22,51.34,50.51,46.02,43.75,20.36,27.51,34.99,40.98,49.84,55.74,60.87,53.85,46.36,54.14,62.45,73.67,79.84,82.87,91.16,105.66,99.16,110.94,98.21
G951,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,Goat,32.87,32.23,39.14,40.86,42.53,44,42.08,41.35,41.11,40.67,43.85,45.56,47.05,48.57,36.5,38.56,37.24,35.38,31.99,35.23,38.39,44.27,54.21,59.71,73.57,79.04,79.69,93.24,93.67,84.61,82.29,40.07,18.95,27.85,37.74,44.14,54.22,70.82,89.78,103.3,59.27,56.41,71.04,88.24,108.2,128.7,159.65,171.52,150.02,158.77,120.68
G956,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,Goat,6.76,6.93,6.89,7.11,5.72,5.33,5.54,5.84,5.66,5.37,5.03,4.98,5.24,4.89,5.09,5.02,4.99,5.33,5.67,6.62,7.32,8.24,8.62,8.08,9.78,12.59,14.25,14.87,15.13,14.11,13.99,11.39,9.38,12.65,13.52,16.12,18.68,22.82,29.09,32.91,35.7,37.54,39.38,43.68,48.62,47.71,51.34,59.08,57.47,64.41,59.68
G964,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,Goat,0.1,0.13,0.14,0.14,0.06,0.11,0.13,0.18,0.26,0.21,0.24,0.36,1.33,1.19,1.32,1.33,1.69,1.95,2.35,2.77,4.14,5.39,8.64,8.47,11.17,12.7,12.81,15.63,18.34,21.75,26.66,24.08,22.08,23.73,27.94,35.83,39.44,43.79,51.15,51.56,26.24,34.27,38.93,45.49,51.17,51.87,58.32,59.24,64.06,71.24,70.66
G972,Northern,Архангай,MN65,Батцэнгэл,MN6510,Goat,18.9,19.31,19.61,21.24,21.12,20.13,18.04,16.43,17.24,17.17,17.36,17.7,17.96,16.24,15.76,13.7,12.78,14.54,16.08,16.68,17.56,17.83,20.17,23.46,28.12,25.27,31.41,37.8,46.22,52.46,57.24,48.03,49.74,54.01,60.5,66.24,75.79,84.84,98.55,99.22,67.42,78.6,87.69,90.16,95.99,92.11,101.77,105.61,103.75,116.82,104.81
G979,Northern,Архангай,MN65,Булган,MN6512,Goat,3.79,4.07,4.08,4.22,4.43,4.68,4.18,4.03,4.46,4.29,4.19,4.49,4.5,4.16,4.2,3.91,3.87,3.53,4.11,4.81,5.29,5.37,5.76,5.17,5.77,6.51,7.02,8.44,9.57,10.45,10.73,11.25,12.61,15.05,16.43,16.81,20.19,23.86,29.64,30.6,21.7,23.89,25.99,31.3,31.8,29.47,34.68,39.14,42.58,45.1,34.15
G984,Northern,Архангай,MN65,Жаргалант,MN6520,Goat,8.67,10.15,10.78,10.24,10.32,10.45,9.85,9.66,10.51,10.7,11.02,11.1,12.18,11.77,10.95,10.31,10.39,10.85,12.38,13.1,13.16,12.24,10.95,12.37,14.72,15.84,17.86,21.95,25.19,27.22,26.97,25.68,27.1,33.8,35.81,37.82,42.88,47.18,57,56.93,42.54,52.92,54.11,59.86,69.76,72.35,85.91,73.54,83.3,93.14,81.49
G990,Northern,Архангай,MN65,Их тамир,MN6517,Goat,8.56,9.18,9.32,8.79,8.68,8.74,8.64,8.53,9.02,9.05,9.34,9.89,10.69,10.25,10,8.92,9.22,9.03,9.14,9.62,9.69,10.08,11.03,13.51,16.03,18.15,20.84,24.91,28.96,31.78,33.96,37.31,38.75,46.54,52.64,55.41,62.06,69.49,85.89,87.55,59.04,65.22,70.67,76.48,80.78,82.68,91.18,90.85,96.59,103.52,89.48
G997,Northern,Архангай,MN65,Өгийнуур,MN6502,Goat,9.72,9.07,9.81,9.71,10.51,9.69,9.57,5.65,6.88,7.75,8.82,8.91,12.34,7.44,8.14,7.76,8.07,8.62,10.03,12.37,14.16,14.95,15.34,16.17,18.59,18.44,23.07,29.04,35,39.11,34.89,27.79,21.29,27.67,32.57,41.41,50.49,62.73,62.08,57.35,53.94,59.27,70.77,73.85,74.87,81.9,94.51,91.47,86.69,102.7,99.77
G1003,Northern,Архангай,MN65,Өлзийт,MN6503,Goat,11.91,12.19,12.93,13.06,13.03,13.11,13.35,11.54,13.23,13.92,14.4,14.42,14.84,11.53,11.08,9.24,8.26,8.43,9.31,10.68,12.01,12.89,14.03,13.32,15.48,16.41,19.6,23.4,27.68,29.83,30.31,30.11,31.09,29.19,34.66,41.94,53.21,64.41,81.18,72.09,51.83,55.31,64.07,70.3,74.03,73.6,84.8,90.71,89.22,108.6,101.45
G1008,Northern,Архангай,MN65,Өндөр-Улаан,MN6521,Goat,8.1,8.3,7.89,8.24,8.56,9.01,7.88,6.44,7.14,7.36,7.55,7.49,7.98,6.98,6.85,6.79,6.65,6.3,6.94,8.33,8.49,8.57,9.31,11,13.56,13.64,16.16,20.43,23.84,26.17,28.86,27.47,30.56,37.32,40.34,45.37,53.74,59.78,70.13,67.75,52.83,59.51,56.83,61,68.13,68.36,71.46,72.39,78.96,89.04,76.44
G1014,Northern,Архангай,MN65,Тариат,MN6523,Goat,5.94,6.5,6.85,6.87,6.89,7.02,6.61,6.14,6.35,6.57,6.66,6.81,6.66,6.25,6.22,5.62,5.89,6.05,6.26,6.67,7.29,6.74,7.37,8.9,10.87,12.24,14.38,16.88,18.34,19.79,19.77,16.34,19.2,25.17,29.81,35.68,42.96,49.1,60.03,58.69,50.6,55.23,47.57,51.94,58.4,60.78,59.79,64.77,71.19,79.26,60.12
G1022,Northern,Архангай,MN65,Төвшрүүлэх,MN6507,Goat,0.72,0.7,0.71,0.78,0.72,0.85,0.97,0.88,0.7,0.65,0.59,0.62,0.82,0.73,0.87,1.01,1.16,1.41,1.6,1.83,2.52,3.68,4.8,6.32,8.6,10.22,12.51,15.34,18.07,19.59,19.15,17.8,17.63,21.43,24.29,30.08,36.02,43.07,44.96,50.97,19.1,24.62,29.39,31.99,41.23,43.65,50.67,54.8,58.07,66.58,61.77
G1027,Northern,Архангай,MN65,Хайрхан,MN6506,Goat,12.04,12.78,13.31,11.98,12.4,11.5,11.29,10.37,11.48,11.63,12.4,12.33,9.52,9.36,9.04,7.85,7.65,8,8.82,9.98,10.7,11.07,12.56,14.77,18.03,21.12,23.88,28.81,30.99,29.49,29.54,27.19,30.55,36.39,36.02,39.48,43.7,49.47,63.77,64.89,55.6,58.34,61.37,66.24,77.19,73.8,80.66,90.51,97.76,112.56,93.16
G1033,Northern,Архангай,MN65,Хангайн бүс,MN6525,Goat,4.57,4.86,5.08,4.95,4.93,4.78,4.79,4.98,5.06,5.24,5.31,5.41,5.62,5.7,5.18,4.05,4.61,4.85,5.21,5.52,5.61,6.21,5.78,3.91,4.8,5.37,6.04,7.36,8.52,8.69,9.67,8.72,9.02,10.15,12.16,13.42,15.98,18.83,23.41,25.4,21.88,21.73,21.39,21.57,23.33,24.27,22.79,25.19,28.39,31.35,28.18
G1040,Northern,Архангай,MN65,Хашаат,MN6501,Goat,12.24,12.38,13.74,15.65,15.34,12.64,12.81,12.65,14.27,14.31,14.8,14.92,16.19,13.35,12.5,10.1,10.93,12.11,12.61,15.71,16.8,17.38,18.24,19.24,21.38,26.2,30.13,35.25,41.28,46.16,34.55,36.84,37.03,38.7,42.4,46.23,57.73,70.87,77.45,85.5,71.41,66.62,79.53,81.34,88.93,94.72,101.85,105.39,99.69,120.59,107.28
G1046,Northern,Архангай,MN65,Хотонт,MN6504,Goat,16.24,13.99,15.82,16.78,17.91,18.74,17.02,16.22,16.93,17.73,18.02,19.16,20.71,17.51,17.82,16.13,16.49,16.53,17.46,19.35,21.67,22.94,23.93,24.75,29.95,32.25,37.21,44.5,52.04,58.54,49.84,45.47,44.85,47.58,48.78,60.69,71.77,87.17,98.14,101.85,44.32,57.32,69.57,77.98,93.51,100.75,117.41,119.1,119.68,142.2,107.92
G1053,Northern,Архангай,MN65,Цахир,MN6527,Goat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,3.62,4.61,5.61,7.28,7.9,8.73,8.1,7.26,8.13,9.72,10.35,11.95,14.25,17.77,21.15,22.09,19.19,21.68,22.29,24.45,24.71,25.5,23,27.45,30.17,34.67,26.72
G1058,Northern,Архангай,MN65,Цэнхэр,MN6508,Goat,8.19,7.56,8.06,7.56,7.94,8.53,7.98,7.22,8.1,8.22,8.64,9,9.16,8.48,8.27,6.42,6.91,7.3,7.84,9.04,10.08,10.94,11.72,12.96,15.8,17.04,19.41,23.13,27.37,30.76,28.11,26.59,27.01,29.56,32.18,37.31,45.23,49.74,55.11,66.03,38.54,51.26,59.15,65.59,77.32,79.74,89.77,91.18,96.94,108,96.51
G1065,Northern,Архангай,MN65,Цэцэрлэг,MN6519,Goat,15.4,16.08,15.18,13.02,14,13.33,13.48,13.36,15.49,15.95,16.99,17.61,18.54,16.35,14.81,11.95,11.25,11.58,13.78,15.74,17.5,17.24,17.33,18.56,21.75,22.84,25.52,31.57,37.13,38.5,39.33,37.23,39.64,44.73,49.9,55.27,63.89,74.08,81.97,80.24,61.31,71.85,75.35,83.11,96.48,91.1,99.37,98.06,108.32,121.11,105.44
G1071,Northern,Архангай,MN65,Чулуут,MN6522,Goat,3.47,3.61,3.84,4.04,3.86,3.95,3.74,3.8,3.73,3.7,3.71,3.85,4.35,4.35,3.84,3.33,3.82,3.8,3.39,4.43,4.8,4.59,4.32,5.14,6.06,7.37,8.25,10.01,10.74,10.75,11.29,12.62,14.48,17.55,20.58,22.81,26.31,31.17,36.22,37.46,30.28,30.8,31.87,35.01,36.32,35.57,38.76,38.28,38.42,42.84,36.82
G1077,Northern,Архангай,MN65,Эрдэнэмандал,MN6515,Goat,17.07,18.36,16.84,15.55,15.78,13.83,12.84,10.16,10.99,10.65,11.2,11.98,13.07,12.44,10,7.86,7.11,6.71,7.24,8.02,9.21,9.23,11.39,14.41,18.94,21.73,25.71,32.24,37.42,41.42,43.94,42.09,46.31,58.44,56.23,61.32,65.11,70.26,77.18,78.92,64.98,75.73,79.13,84.12,92.06,88.36,95.59,97.75,105.54,119.1,107.15
G1085,Northern,Хөвсгөл,MN67,Мөрөн,MN6712,Goat,1.46,1.31,0.67,0.81,0.95,1.11,1.06,1.35,1.35,1.26,1.09,1.65,1.75,2.2,2.43,2.35,2.65,2.99,3.37,3.93,6.64,7.67,12.62,15.07,19.23,21.02,24.63,30.07,37.4,35.9,36.36,32.08,40.71,44.12,53.04,56.66,73.31,88.06,103.94,103.79,61.42,71.53,72.12,62.9,79.7,78.47,87.18,96.67,122.1,101.94,104.25
G1100,Northern,Хөвсгөл,MN67,Алаг-Эрдэнэ,MN6714,Goat,5.87,6.1,5.77,5.89,5.44,4.45,3.79,3.59,3.94,3.97,3.87,3.99,4.28,4.19,4.62,3.89,4.3,4.01,3.9,4.71,4.53,4.06,4.32,4.9,6.22,8,9.71,12.03,15.57,17.28,18.07,16.67,20.79,26.9,33.53,34.97,43.35,52.79,58.52,64.63,55.14,55.07,69.4,65.47,76.94,80.55,94.3,107.69,121.77,123.65,117.35
G1107,Northern,Хөвсгөл,MN67,Арбулаг,MN6720,Goat,18.96,16.9,17.59,18.25,16.46,14.01,12.87,13.92,15.57,16.64,17.84,18.31,18.95,18.08,17.63,16.9,17.63,19.38,21.98,23.83,24.78,22.1,21.55,21.71,26.58,31.72,36.46,42.86,47.23,47.64,45.98,32.75,37.94,47.92,57.52,61.66,75.74,87.51,95.38,103.56,82.47,85.6,87.44,85.98,99.66,104.09,120.78,130,144.79,156.74,148.39
